id_starname,dr3_source_id,bpmag,bpmag_err,rpmag,rpmag_err,parallax,parallax_err,feh,feh_err,feh_prov,ruwe
tic35285308,606721309460190464,13.391918,0.002846,12.523387,0.003793,2.2420370000000003,0.0147,0.1400366194686935,0.15,Poly,0.884
tic286152207,5513170551159420672,13.75703,0.002879,12.859888,0.00384,0.89307,0.011399999999999999,-0.6524544999999999,0.2,Med,1.115
tic286923464,1560420854826284928,8.232924,0.002842,7.406866,0.003804,10.8876469999999,0.018,0.2767579956895893,0.15,Poly,0.961
tic395926728,5786457022402043136,13.744147,0.002954,12.805,0.003835,1.186363,0.0117,-0.1779413308113415,0.15,Poly,1.115
tic219857012,1651818622174190208,9.070386,0.002848,8.236146,0.003816,13.71009,0.0103,0.2197930898601408,0.15,Poly,0.861
tic9030119,2435650050614494336,13.720635,0.002883,12.783379,0.003812,2.215318,0.0141,0.0179188395615579,0.15,Poly,0.952
tic82452140,1353631412319001600,10.790117,0.002842,9.943441,0.00379,7.117992,0.0144,0.1214424785418506,0.15,Poly,1.098
tic172110606,3439215407535761280,9.740914,0.002814,8.905389,0.003818,6.6503239999999,0.014199999999999999,-0.1153817269401074,0.15,Poly,0.965
tic142562395,1078690867571610368,14.028181,0.003197,13.156724,0.003863,1.748809,0.0132,-0.0531585789070634,0.15,Poly,1.071
tic130611752,5559457177488715008,13.672066,0.002881,12.732963,0.003797,1.4677259999999999,0.0165,0.0745829939852349,0.15,Poly,1.889
tic336126253,2096865431193019392,12.670569,0.002849,11.736825,0.00379,3.961852,0.0086,0.1285302939729957,0.15,Poly,0.899
tic189013224,2983316311375470976,10.382448,0.002978,9.542706,0.003852,8.884732,0.0181,0.2284294397893953,0.15,Poly,1.173
tic92744152,5318119460441663872,13.334092,0.002847,12.460292,0.003816,1.049355,0.0121,-0.1632753915410658,0.15,Poly,1.028
tic69028091,886416864041744384,13.556307,0.003021,12.616344,0.003824,2.185797,0.0135,0.213344128831757,0.15,Poly,1.015
tic393831507,4009018273332089088,11.295118,0.002886,10.469027,0.003805,3.8747719999999997,0.0351,0.0295948499290172,0.15,Poly,1.611
tic363851359,6087996849371141248,14.15369,0.002979,13.214311,0.003888,1.403739,0.0198,0.10170515471036,0.15,Poly,0.963
tic233053554,1440768705252264448,13.977323,0.002979,13.108627,0.003859,1.663858,0.012,0.1126254943586895,0.15,Poly,1.194
tic199731190,4930844836331589376,13.181451,0.002834,12.315167,0.0038,2.960965,0.0173,-0.4159977749222285,0.15,Poly,1.481
tic202426247,1620024491110370688,8.573892,0.003394,7.732931,0.003996,21.880408,0.0164,-0.0361772582832538,0.15,Poly,0.946
