id_starname,iso_teff,iso_teff_err1,iso_teff_err2,iso_logg,iso_logg_err1,iso_logg_err2,iso_feh,iso_feh_err1,iso_feh_err2,iso_mass,iso_mass_err1,iso_mass_err2,iso_rad,iso_rad_err1,iso_rad_err2,iso_rho,iso_rho_err1,iso_rho_err2,iso_lum,iso_lum_err1,iso_lum_err2,iso_age,iso_age_err1,iso_age_err2,iso_dis,iso_dis_err1,iso_dis_err2,iso_avs
kic4847534,5383.55630789488,103.17620957267808,-117.36680233838342,4.568897818261794,0.0339522676154517,-0.0583170181916923,-0.2969481613734041,0.1335596593408961,-0.130836733009855,0.7981848083474511,0.0382081610174684,-0.0415889701407936,0.7687448590047709,0.0315658513709627,-0.0243612776635696,1.7479218503792413,0.1969475580014055,-0.2741873105252699,0.4514369389550143,0.0165020251214171,-0.0158821744778352,5.339,7.921,-4.149,522.4678232332071,8.229578649143036,-8.24241995562636,0.1354262843108408
kic4852528,4557.60395116563,57.05194034525084,-82.3519724291773,4.603815710864208,0.0328677433763155,-0.05572618673893,0.1734960317456291,0.1296908062715062,-0.1509960233914598,0.7378687346085486,0.0185210011588348,-0.0409567908053228,0.7048410921671506,0.0234688777328364,-0.0180895088937961,2.0694830232534547,0.216918459151842,-0.3010802141018298,0.1940087837599731,0.0066633849489534,-0.007123268886211,*8.407,12.448,-6.543,371.1549076279296,5.657580492826071,-5.599524642695712,0.3173726597795667
kic12116489,5165.796034100641,73.81673677032722,-91.48178067364644,4.528138724206039,0.0341435759312638,-0.0596321397960224,0.2330058687238002,0.1138505712624822,-0.1303176736025971,0.8767360335689887,0.0401412208738304,-0.0438881928935455,0.8448496884361023,0.0325644462986878,-0.0219884770646863,1.4512253241532185,0.1547610106588004,-0.2329334830680989,0.4619257150712214,0.0161362733137285,-0.0157150637921931,5.438,8.004,-4.227,644.1965822766192,11.019184115530038,-11.043858615897877,0.2196096461304851
kic12600735,6246.308811445439,149.63118534195473,-171.899328641769,4.322872850990218,0.0471581521648643,-0.0614732055078102,-0.0757035610952174,0.1339262163443912,-0.1387206361674244,1.1529031227863389,0.0390271356464542,-0.0816019235439917,1.2132311132920082,0.056901255097302,-0.0434941560529507,0.6284199135731463,0.0961698070223509,-0.1065816397903753,2.041285415792408,0.105948871500316,-0.0983229149000735,2.485,2.371,-1.649,995.1967627808708,19.719651779491755,-19.529292027194288,0.1647072345978638
kic10593626,5505.420715062402,98.83283588842278,-105.84657356186472,4.528428542622716,0.0291738217724963,-0.0518348359345806,-0.0697582281627196,0.1342665802053752,-0.1283483954045594,0.8952063424855442,0.0395806629294492,-0.042869417093392,0.8541269867989075,0.0306871537276026,-0.0247296764069796,1.435723122167201,0.1374401004160059,-0.2017416309680855,0.6091397748612467,0.0200260932501298,-0.0191923309102493,3.656,5.669,-2.838,195.9844659326035,2.75883386340837,-2.73871645102534,0.0
kic10388286,3707.2563891061504,17.31466070316219,-12.349145833492912,4.674679793841901,0.021902748208296,-0.0232722107025997,0.064665085958494,0.1594734627907579,-0.1423013150593103,0.528918809997356,0.0190263410002738,-0.0190373695319683,0.5514355523670073,0.0204690391642052,-0.018935338083015,3.111749314733589,0.2694525675124972,-0.2656579765875468,0.0515139675919227,0.0038362488152226,-0.0028987571091238,*12.55,10.64,-9.146,173.73823725479943,2.4750106792789666,-2.4660748727063435,0.0
kic4633570,4362.5982301795375,110.4714602775166,-82.27895412419275,4.61003462910064,0.0324061692084072,-0.0375351866230939,-0.1031244916772986,0.1389191218267139,-0.1329663341522153,0.6584125619180673,0.0389756051905814,-0.0230206703311928,0.6671118450622194,0.0164656658288256,-0.0172507545899837,2.2171727600068,0.2222339214264885,-0.2253817033292093,0.1466993236670003,0.0138331094196938,-0.011744301132618,*8.093,9.986,-6.138,316.00482613608693,4.4945062317978,-4.573951236162998,0.0342327532722259
kic5640085,4397.0259184714205,86.63663416423515,-89.03363678885853,4.60308726092865,0.036841284491965,-0.039672039723178,-0.0027061271133515,0.1523767720930135,-0.1185065466862131,0.6777067604827922,0.0375940931710671,-0.038789381714959,0.6784836369938861,0.0181861331000602,-0.0175135543927456,2.142195979844832,0.2473386404560011,-0.2212863468042329,0.1572838282086603,0.008290701567367,-0.0135812015204401,*9.336,9.416,-6.86,369.7972965892831,5.697699602403191,-5.555259188582568,0.1932273306621429
kic4951877,6565.664006088293,258.3424465370572,-265.854199044511,4.167659828324591,0.0725443902560805,-0.0806448591646642,-0.009379282024341,0.1606390849839746,-0.1683047076336038,1.3452348595200148,0.0483320676483911,-0.1035914422968025,1.557677070878361,0.1106782891531312,-0.096324286330198,0.3400566227552716,0.0872911095545425,-0.0757274531611204,4.133375996023323,0.3032755986321769,-0.2744025740775564,1.929,1.156,-1.056,1465.0044465366514,40.960494488058885,-41.06277878049127,0.7492428787525511
kic5340644,4190.076184049744,79.91402528214894,-33.726480828751846,4.614367057794332,0.0238809657606227,-0.0281798726507185,-0.0275382184964446,0.1208077887529372,-0.1366281859362734,0.6376896129079538,0.0384956236645798,-0.0216974366176102,0.6545191682610914,0.0162675860025163,-0.0132589289836888,2.2808240528817065,0.1701081555777399,-0.1764023791336937,0.1203177965198198,0.0110955694606744,-0.0078520538560264,*6.609,11.643,-5.089,324.37396985793225,5.054101643407989,-4.867646873680371,0.3009862488071811
kic4165473,5724.106461212757,108.39614893956514,-120.76186409675029,4.478480812758303,0.0331267463138038,-0.0566074518328418,-0.0420978888717634,0.1310433553089799,-0.1306245125001155,0.9724417942912869,0.0427173083641754,-0.0562201850073669,0.937357074835467,0.0357828778803059,-0.027878506848507,1.1658121974544016,0.1245806184646458,-0.1779713962327975,0.8574488568540486,0.0342238148428918,-0.0327232978173805,3.302,4.719,-2.547,651.6427633778766,10.573694911114671,-10.68095120234807,0.1656640113659407
kic4270253,5791.349392151735,135.33271161890843,-156.72262235233666,4.429426706519461,0.052437043926595,-0.0752242226984476,-0.1157894545054274,0.1357049482237359,-0.1339040681802342,0.9527036205394002,0.0610505674276535,-0.0800848369070228,0.9816632833948522,0.0503133159977622,-0.0380052417289016,0.9920656043558704,0.1674475531773586,-0.1962778984056188,0.9873348161779204,0.0556556105239308,-0.0515303407143213,5.112,5.711,-3.715,1023.5260842967726,24.308894373682165,-23.90433648779674,0.1900533645032797
